0	1004223	2
0	10270401	4
0	1228835	2
0	128005	2
0	1310893	3
0	1310918	2
0	134766	13
0	149553	30
0	1561482	2
0	164667	2
0	1727562	2
0	173787	7
0	1806036	2
0	1888980	2
0	1894648	3
0	199404	3
0	2089879	2
0	2130404	4
0	229161	2
0	2407689	2
0	2648117	3
0	2679256	2
0	2760152	2
0	2820395	5
0	28243	6
0	308437	9
0	3095912	19
0	3252781	3
0	35752	3
0	3616469	2
0	3925191	2
0	4030526	4
0	4076208	3
0	4079642	5
0	4322169	4
0	433748	3
0	4469495	2
0	4562410	3
0	456858	3
0	4576738	3
0	461300	3
0	4614394	4
0	4680425	2
0	487310	2
0	4907101	2
0	4907349	3
0	4928500	4
0	5237238	7
0	5417191	2
0	5459416	16
0	5476215	2
0	5622403	3
0	5697725	5
0	5811004	6
0	5884577	3
0	5949804	10
0	6086111	3
0	6086172	6
0	6149139	2
0	6170006	4
0	6203770	2
0	6232972	2
0	6285110	2
0	6331984	2
0	6604431	2
0	663333	2
0	6662055	2
0	6715284	4
0	6768104	2
0	68411	2
0	7192759	2
0	7274040	2
0	7327702	2
0	7369867	2
0	7471214	15
0	7547734	48
0	7579006	10
0	7611264	4
0	7703526	3
0	7815135	4
0	783550	23
0	7976324	12
0	8064289	3
0	808624	24
0	812427	2
0	8381082	3
0	8424462	5
0	873891	16
0	8803232	3
0	8853239	2
0	89416	7
0	91912	2
0	929196	2
0	9439062	6
0	9493	2
0	9657936	2
1000	50816	6
1000	612302	2
1000	8090862	2
1000	8105282	2
1000	8176359	5
1000	8178078	2
1000	92053	8
1000	9475	7
1001	1218696	3
1001	1837101	7
1001	245519	3
1001	326776	3
1001	351737	14
1001	420174	5
1001	437584	2
1001	4469495	2
1001	6142977	2
1001	657584	2
1001	7374314	2
100	1773986	2
100	1845815	2
1002	1009040	6
1002	1212157	6
1002	1357142	2
1002	171062	57
1002	2006365	16
1002	218057	2
1002	2664956	2
1002	285006	3
1002	291884	2
1002	3011388	94
1002	3873134	5
1002	3987679	4
1002	4354344	2
1002	455783	3
100	24902	2
1002	6712967	2
1002	6848616	2
1002	7001115	13
1002	710065	2
1002	7826708	5
1002	7831695	3
1002	8059075	2
1002	831038	3
1002	8481033	65
1002	86733	4
1002	92053	22
100	294180	3
1003	10186983	2
1003	182338	2
1003	1837101	7
1003	3011388	2
1003	420174	3
1003	4469495	2
1003	4785679	3
1003	5906186	2
1003	657584	6
100	406316	2
1004	1837101	5
1004	351737	2
1004	5119202	4
1005	164032	8
1005	1837101	7
1005	214129	2
1005	245519	2
1005	2803391	2
1005	298290	2
100	5326371	18
100	534835	10
1005	351737	3
1005	3825922	2
1005	4469495	2
1005	5538255	2
1005	5955372	4
1005	8963553	3
100	592306	3
1006	114927	2
1006	140548	4
1006	1476994	78
100	61482	2
1006	159678	2
1006	1879566	2
1006	243740	9
1006	2741171	5
1006	3077600	3
1006	3095630	4
1006	3127827	5
1006	313708	2
1006	32947	5
1006	351737	63
1006	37144	2
1006	3936334	8
1006	415581	9
1006	4469495	3
1006	4540583	7
1006	4768044	3
1006	502570	5
1006	5468611	2
1006	6104108	3
1006	6389828	13
1006	64853	2
1006	6999039	3
1006	7313053	2
100	6743498	2
1006	746004	9
1006	747470	3
1006	7630970	2
1006	7826708	4
1006	7891	2
100	6844949	3
1006	992101	8
100	710065	3
1007	1357142	2
1007	1476994	12
