8	9
8	17
8	25
8	28
8	276
8	2632
8	94
8	46
8	48
8	189
8	539
8	199
8	785
8	84
8	220
8	2511
8	312
8	141
8	236
8	147
8	155
8	432
8	8
8	8
8	8
8	46
8	84
8	312
8	141
8	8
8	312
344	1674
344	349
344	1677
344	1070
344	365
344	549
344	1108
344	617
344	1690
344	774
344	396
344	411
344	2513
344	414
344	417
344	1703
728	728
771	2608
771	771
771	738
771	808
771	2635
771	668
771	2624
771	17
771	180
771	660
771	2661
771	3431
771	649
771	648
771	691
771	1764
771	2623
771	2677
771	654
771	206
771	79
771	730
771	84
771	1491
771	1495
771	219
771	804
771	831
771	130
771	235
771	847
771	744
771	155
771	1353
771	1543
771	2636
771	3480
771	892
771	771
771	771
2518	265
2518	584
2518	699
2518	2596
2518	1372
2518	1229
2518	1785
2518	206
2518	1504
2518	754
2518	804
2518	2588
2518	236
2518	155
2866	1406
2866	186
2866	1460
2866	199
2866	76
2866	155
2866	259
2866	2866
2866	2866
1	1
1	443
1	900
1	1410
1	808
1	668
1	1418
1	437
1	122
1	1908
1	36
1	371
1	372
1	190
1	648
1	152
1	2376
1	457
1	460
1	1258
1	598
1	463
1	117
1	435
1	409
1	410
1	469
1	1931
1	831
1	235
1	236
1	150
1	1
1	435
1	473
1	1
1	1
576	29
576	1473
576	617
576	225
576	606
888	627
888	821
888	654
888	769
888	2161
888	741
888	1504
888	463
888	2440
888	207
888	470
888	155
1720	2760
1720	1945
1720	2765
1720	1735
1720	1740
1720	1745
1720	270
1720	40
1720	2781
1720	283
1720	1767
1720	290
1720	218
1720	1811
1720	310
1720	235
1720	1857
1720	327
1720	1862
1720	1720
261	265
261	2099
261	276
261	389
261	2804
261	206
261	304
261	542
261	550
261	544
261	261
261	265
2522	430
2522	1223
2522	2535
2522	2536
2522	1229
2522	1231
2522	1236
2522	1238
2522	2576
2522	1239
2522	2581
2522	2591
2522	2592
2522	2594
2522	429
2522	1246
2522	1248
701	11
2671	728
2671	1720
2671	584
2671	699
2671	1460
2671	726
2671	874
2671	101
2671	1817
2671	2687
2671	236
2671	3494
2671	259
9	8
9	9
9	17
9	178
9	29
9	36
9	94
9	50
9	2507
9	539
9	785
9	84
9	1321
9	93
9	1002
9	312
9	516
9	469
9	129
9	235
9	1998
9	744
9	9
9	17
9	9
9	17
9	312
9	8
9	312
11	728
11	3
11	10
11	75
11	263
11	165
11	584
11	14
11	356
11	272
11	184
11	1449
11	277
11	368
11	45
11	48
11	49
11	186
11	2661
11	190
11	648
11	1460
11	283
11	693
11	248
11	72
11	63
11	194
11	702
11	289
11	197
11	203
11	711
11	874
11	294
11	1300
11	210
11	83
11	774
11	91
11	297
11	218
11	95
11	101
11	220
11	1504
11	598
11	852
11	647
11	205
11	114
11	819
11	228
11	124
11	734
11	233
11	1848
11	324
11	235
11	238
11	2040
11	1542
11	204
11	155
11	332
11	256
11	860
11	259
11	11
11	11
11	11
2765	2765
2765	2766
2765	1740
2765	843
2765	3368
2765	270
2765	2775
2765	3376
2765	3378
2765	40
2765	2781
2765	2782
2765	2791
2765	186
2765	69
2765	2810
2765	2813
2765	512
2765	842
2765	3501
2765	3528
2765	2765
1016	1011
1016	1406
1016	584
1016	1048
1016	1069
1016	1068
1016	370
1016	186
1016	1089
1016	1117
1016	1120
1016	1508
1016	205
1016	1169
1016	142
1016	1183
1016	155
1015	1016
1015	122
1015	1065
1015	1067
1015	1069
1015	1074
1015	1093
1015	1117
1015	1504
1015	1174
1015	1183
1188	1064
1188	1451
1188	368
1188	370
1188	50
1188	1101
1188	1102
1188	509
1188	1108
1188	69
1188	1473
1188	2568
1188	2570
1188	1134
1188	155
1188	1473
2706	1947
