0	1368726	3
0	146024	2
0	1788689	2
0	3925191	2
0	4076208	3
0	4079642	4
0	6170006	2
0	6344389	3
0	6879149	2
0	7274040	10
0	7547734	12
0	7976324	2
0	9395519	2
1000	878749	3
1001	351737	2
100	1773986	2
1002	1385729	2
1002	171062	24
1002	218057	3
1002	220505	2
1002	3011388	14
1002	332841	2
1002	3873134	2
1002	455783	2
1002	5781611	3
1002	6712967	3
1002	7001115	13
1002	831038	4
1002	8481033	7
1002	92053	13
100	3259133	2
1003	281300	2
1003	49775	3
1003	657584	2
1005	164032	5
1005	33566	2
1005	3825922	5
100	60840	3
1006	1108782	2
1006	126457	2
1006	140548	2
1006	1423924	6
1006	1476994	34
1006	193848	2
1006	243740	9
1006	2458303	3
1006	26801	3
1006	3127827	2
1006	332841	4
1006	351737	38
1006	3569531	2
1006	3769117	2
1006	3787399	2
1006	3936334	10
1006	415581	8
1006	7748301	5
1006	7826708	3
1006	992101	14
1007	1476994	7
1007	220505	4
1007	3011388	2
1007	332841	2
1007	351737	4
1007	7001115	4
1007	747470	2
1007	8481033	5
1008	1476994	6
1008	351737	4
1008	4540583	4
1008	992101	4
1009	351737	2
1009	489157	2
10	10047563	4
10	1022055	2
10	10226453	5
1010	339034	7
1010	541218	3
1010	583054	6
1010	88750	2
101	1022055	2
1011	140946	2
101	1227922	7
10	1123985	2
101	124878	2
101	1266754	29
1011	3277244	2
1011	5758262	2
101	1893265	2
10	1197008	3
101	1998211	2
101	203728	7
1012	10197052	15
1012	1158101	4
1012	1236449	37
1012	1441835	2
1012	1656232	21
1012	1722919	11
101	2217552	2
1012	219453	6
1012	2352753	6
101	226313	2
1012	2730558	49
1012	306595	3
1012	309345	10
1012	3172211	5
1012	3483166	4
1012	35331	13
1012	546423	2
1012	5732787	7
1012	6463425	2
101	26801	8
1012	6895866	5
1012	7617805	4
1012	7627571	11
101	2808799	3
1012	8283180	2
1012	8601432	2
1012	86972	20
1012	8773	3
1012	878749	2
10	1291551	2
1013	105537	2
1013	1108424	7
1013	136813	23
101	3160007	12
1013	2067618	2
1013	493304	2
1013	536375	7
1013	555187	3
1013	668610	3
1013	6713598	16
10	136745	16
10	1387010	3
1013	93143	4
1013	98785	6
10	1400142	403
1014	123079	3
101	4128319	5
101	4434631	2
1014	7201216	5
101	4780621	13
101	4782119	2
101	4830385	2
101	4918746	4
101	4989866	3
10	1500493	28
101	5058319	4
1015	3277244	2
1015	4280259	2
101	5453875	2
101	5865511	2
10	1587500	3
101	59603	6
10	160310	26
1016	10198049	2
1016	140946	5
1016	146986	4
101	6151148	4
1016	158443	7
1016	2942018	6
1016	3925191	2
101	6411847	6
1016	4280259	14
101	64669	3
1016	568400	18
1016	581349	3
101	67221	6
1016	7342018	3
101	6736469	13
101	6772865	2
1016	911938	3
1016	9676659	2
101	7025754	2
101	7029243	2
101	723881	4
101	754622	2
101	7560330	3
101	7625378	8
1017	903118	2
1018	1051513	2
1018	1381068	9
1018	158443	6
10	181614	3
1018	276665	2
101	8405750	2
101	847895	2
101	84999	21
101	851535	15
101	8846	2
101	8962396	5
1019	1062840	14
1019	1381068	42
101	9172464	29
10	1920915	26
1019	276665	20
1019	289170	2
10	194262	85
101	9491657	2
1019	6212304	4
1019	903118	3
1020	1440259	3
1020	1995058	2
10	2069646	2
1020	98785	2
102	1043125	2
102	1156246	2
102	1304678	19
102	2087478	195
1022	2537255	6
102	2311542	41
1022	3600820	3
102	2487533	3
102	2538386	11
102	2562750	2
102	267669	3
102	2861243	2
1023	1301909	5
1023	1357080	3
1023	146986	2
1023	1868769	4
102	3241390	17
1023	2647943	2
1023	2819764	2
1023	3442657	4
102	3374328	2
1023	3753540	2
1023	4008638	12
1023	4064894	3
1023	43844	2
1023	4670924	33
1023	5798	33
1023	6256091	4
1023	6764365	2
1023	733794	23
102	374195	17
1023	769882	4
1023	8777296	2
1023	878749	4
1023	8939258	2
102	395271	63
102	416663	2
102	460061	3
102	4803469	3
102	506262	2
1025	123079	17
1025	35055	4
1025	5798	2
102	5585333	6
102	5639015	2
102	5710967	3
102	5743172	2
1025	7872	6
102	58926	806
102	5902062	2
102	59603	8
102	600513	2
10	261038	7
1026	10390499	2
1026	1324750	3
1026	1531408	2
1026	1635280	41
10	2638403	45
102	6459961	2
1026	474828	28
102	649759	61
1026	5604079	2
1026	6298480	10
1026	6431155	2
102	6670238	2
1026	6984142	2
102	678619	7
102	6977623	2
102	7034269	2
1027	140946	16
102	7174972	2
1027	1929579	2
1027	28522	4
102	737021	6
1027	4280259	14
1027	43844	2
102	7833000	2
1027	8422170	4
10	2813350	124
102	814947	2
102	8571899	2
102	8702635	3
102	8746036	4
1029	194262	2
102	9218313	16
102	9363826	2
102	9458480	5
1029	9057963	4
1030	123079	2
1030	1292390	3
1030	1381068	15
1030	201	2
1030	2106820	2
1030	626138	2
1030	7111539	4
1030	903118	3
1030	98785	4
1031	1635280	28
1031	2145648	3
1031	3502087	3
1031	4064894	5
1031	4679136	2
1031	474828	2
1031	4887940	4
1031	5924405	2
103	1609457	2
1031	85186	2
1032	3538184	2
1032	382113	2
10	3324529	44
1033	94687	2
1034	111359	3
103	7211762	2
1038	111359	75
1038	1381068	31
1038	28190	3
1038	555187	9
1038	903118	4
1038	98785	3
10	399159	2
10	4013985	17
10	4030526	51
104	1073486	2
1041	1381068	2
1041	1551138	3
104	116219	7
1041	1636020	2
1041	1957748	3
10	4128628	12
104	1289606	2
104	1368779	6
1041	533338	2
104	153364	10
104	16846	5
104	1700694	6
104	1773220	18
104	1798972	41
104	1874255	6
104	1908443	21
1041	948140	2
104	1988889	47
104	209209	11
104	2099049	5
104	2118749	10
1042	1373447	2
104	2221364	9
10	4267553	3
10	427947	2
104	281601	3
104	286978	46
104	2909462	11
104	292643	18
10	4298972	6
104	3045229	13
1043	1148396	7
104	311707	2
1043	123079	30
1043	1233382	4
1043	1324750	15
1043	1381068	4
1043	140946	19
1043	169365	2
104	32005	6
1043	2054281	4
104	320928	2
104	3215664	2
1043	2213144	2
1043	2537255	6
1043	2669274	2
1043	3078442	2
104	333277	2
1043	4173712	16
104	3486516	30
1043	493304	2
1043	5105005	10
104	352384	6
1043	5673865	2
1043	5798	32
104	3587100	43
1043	626138	3
1043	6498012	2
1043	6865976	3
104	371719	3
1043	7390344	4
1043	7523123	2
1043	8493377	3
1043	8627356	3
1043	9352188	2
1043	9719271	2
1043	98785	6
104	421176	7
104	432544	14
1044	3600820	4
104	4393335	4
1044	4173712	2
104	459891	28
104	4604856	6
104	468921	2
104	4751314	8
104	477882	55
104	4864188	2
104	4945379	2
1045	1381068	4
1045	2043211	9
104	5589558	13
104	5617557	2
104	5623775	10
104	5655867	3
104	5704291	28
104	57939	2
104	58589	2
1045	878749	5
104	589223	33
1046	1256755	3
1046	1381068	4
104	6330029	9
1046	33145	7
104	6337217	2
1046	4057701	2
1046	4185562	2
104	6529492	5
104	6554858	3
1046	6764527	2
104	674008	2
104	6800840	16
1046	8042070	2
104	6844949	2
104	6941762	6
1046	948140	10
104	6965027	3
104	7086417	7
104	7215764	11
1047	2669274	3
1047	33145	10
104	7353075	9
104	7358609	97
104	73920	32
1047	4064500	15
104	7470998	9
1047	5015512	2
1047	5035972	5
104	763074	2
104	764861	22
1047	7100394	2
1047	735683	4
104	7764254	2
1047	829177	4
1047	878749	4
1048	1187578	4
104	812427	2
104	8134463	7
104	8139479	3
1048	158443	3
1048	282905	3
104	8346020	36
1048	4033135	2
104	8435124	3
1048	496183	9
1048	5130900	2
104	8521476	2
1048	5921216	2
1048	665998	2
104	8672232	2
104	87774	28
1048	8777296	2
104	898126	38
104	9127173	12
104	923820	18
1049	2537255	3
104	9321966	2
1049	4173712	2
1049	5192197	6
104	958016	3
104	994084	2
1050	101140	7
1050	133850	2
1050	1381068	4
1050	2387872	2
